,time_steps,reward
0,0,0.0
1,500,0.0
2,1000,0.0
3,1500,34.0
4,2000,0.0
5,2500,0.0
6,3000,0.0
7,3500,0.0
8,4000,0.0
9,4500,0.0
10,5000,28.0
11,5500,0.0
12,6000,7.0
13,6500,42.0
14,7000,6.0
15,7500,0.0
16,8000,0.0
17,8500,0.0
18,9000,0.0
19,9500,28.0
20,10000,28.0
