,time_steps,reward
0,0,0.0
1,500,0.0
2,1000,0.0
3,1500,0.0
4,2000,0.0
5,2500,0.0
6,3000,6.1
7,3500,0.0
8,4000,0.0
9,4500,0.0
10,5000,5.7
11,5500,0.0
12,6000,3.0
13,6500,5.7
14,7000,0.0
15,7500,18.9
16,8000,0.0
17,8500,0.0
18,9000,5.7
19,9500,24.8
20,10000,27.3
